composer,composerlast,year,perfs
"Stravinsky, Igor",Stravinsky,1947,26
"Prokofieff, Sergei",Prokofieff,1947,16
"Hindemith, Paul",Hindemith,1947,13
"Shostakovich, Dmitri",Shostakovich,1947,13
"Bartok, Bela",Bartok,1947,6
"Stravinsky, Igor",Stravinsky,1948,40
"Prokofieff, Sergei",Prokofieff,1948,29
"Bartok, Bela",Bartok,1948,12
"Hindemith, Paul",Hindemith,1948,12
"Shostakovich, Dmitri",Shostakovich,1948,8
"Prokofieff, Sergei",Prokofieff,1949,25
"Stravinsky, Igor",Stravinsky,1949,19
"Hindemith, Paul",Hindemith,1949,18
"Bartok, Bela",Bartok,1949,13
"Shostakovich, Dmitri",Shostakovich,1949,7
"Stravinsky, Igor",Stravinsky,1950,32
"Prokofieff, Sergei",Prokofieff,1950,21
"Hindemith, Paul",Hindemith,1950,19
"Bartok, Bela",Bartok,1950,12
"Shostakovich, Dmitri",Shostakovich,1950,4
"Prokofieff, Sergei",Prokofieff,1951,24
"Stravinsky, Igor",Stravinsky,1951,17
"Hindemith, Paul",Hindemith,1951,12
"Bartok, Bela",Bartok,1951,11
"Shostakovich, Dmitri",Shostakovich,1951,8
"Prokofieff, Sergei",Prokofieff,1952,35
"Stravinsky, Igor",Stravinsky,1952,28
"Hindemith, Paul",Hindemith,1952,22
"Bartok, Bela",Bartok,1952,10
"Shostakovich, Dmitri",Shostakovich,1952,8
"Prokofieff, Sergei",Prokofieff,1953,42
"Stravinsky, Igor",Stravinsky,1953,36
"Bartok, Bela",Bartok,1953,20
"Hindemith, Paul",Hindemith,1953,15
"Shostakovich, Dmitri",Shostakovich,1953,7
"Prokofieff, Sergei",Prokofieff,1954,38
"Stravinsky, Igor",Stravinsky,1954,28
"Hindemith, Paul",Hindemith,1954,13
"Bartok, Bela",Bartok,1954,12
"Shostakovich, Dmitri",Shostakovich,1954,7
"Prokofieff, Sergei",Prokofieff,1955,37
"Stravinsky, Igor",Stravinsky,1955,24
"Bartok, Bela",Bartok,1955,20
"Shostakovich, Dmitri",Shostakovich,1955,18
"Hindemith, Paul",Hindemith,1955,16
"Stravinsky, Igor",Stravinsky,1956,32
"Prokofieff, Sergei",Prokofieff,1956,26
"Hindemith, Paul",Hindemith,1956,21
"Bartok, Bela",Bartok,1956,16
"Shostakovich, Dmitri",Shostakovich,1956,10
"Prokofieff, Sergei",Prokofieff,1957,32
"Stravinsky, Igor",Stravinsky,1957,25
"Bartok, Bela",Bartok,1957,21
"Shostakovich, Dmitri",Shostakovich,1957,13
"Hindemith, Paul",Hindemith,1957,12
"Prokofieff, Sergei",Prokofieff,1958,27
"Stravinsky, Igor",Stravinsky,1958,21
"Bartok, Bela",Bartok,1958,12
"Shostakovich, Dmitri",Shostakovich,1958,10
"Hindemith, Paul",Hindemith,1958,9
"Stravinsky, Igor",Stravinsky,1959,29
"Prokofieff, Sergei",Prokofieff,1959,26
"Bartok, Bela",Bartok,1959,22
"Hindemith, Paul",Hindemith,1959,17
"Shostakovich, Dmitri",Shostakovich,1959,15
"Prokofieff, Sergei",Prokofieff,1960,34
"Bartok, Bela",Bartok,1960,21
"Stravinsky, Igor",Stravinsky,1960,21
"Hindemith, Paul",Hindemith,1960,20
"Shostakovich, Dmitri",Shostakovich,1960,15
"Prokofieff, Sergei",Prokofieff,1961,44
"Stravinsky, Igor",Stravinsky,1961,32
"Bartok, Bela",Bartok,1961,20
"Hindemith, Paul",Hindemith,1961,19
"Shostakovich, Dmitri",Shostakovich,1961,17
"Stravinsky, Igor",Stravinsky,1962,37
"Prokofieff, Sergei",Prokofieff,1962,36
"Bartok, Bela",Bartok,1962,23
"Hindemith, Paul",Hindemith,1962,18
"Shostakovich, Dmitri",Shostakovich,1962,18
"Prokofieff, Sergei",Prokofieff,1963,41
"Stravinsky, Igor",Stravinsky,1963,38
"Hindemith, Paul",Hindemith,1963,24
"Bartok, Bela",Bartok,1963,23
"Shostakovich, Dmitri",Shostakovich,1963,18
"Prokofieff, Sergei",Prokofieff,1964,41
"Stravinsky, Igor",Stravinsky,1964,29
"Hindemith, Paul",Hindemith,1964,26
"Bartok, Bela",Bartok,1964,23
"Shostakovich, Dmitri",Shostakovich,1964,16
"Stravinsky, Igor",Stravinsky,1965,50
"Prokofieff, Sergei",Prokofieff,1965,35
"Bartok, Bela",Bartok,1965,33
"Shostakovich, Dmitri",Shostakovich,1965,19
"Hindemith, Paul",Hindemith,1965,14
"Stravinsky, Igor",Stravinsky,1966,35
"Prokofieff, Sergei",Prokofieff,1966,30
"Bartok, Bela",Bartok,1966,29
"Hindemith, Paul",Hindemith,1966,22
"Shostakovich, Dmitri",Shostakovich,1966,14
"Stravinsky, Igor",Stravinsky,1967,44
"Prokofieff, Sergei",Prokofieff,1967,36
"Bartok, Bela",Bartok,1967,31
"Hindemith, Paul",Hindemith,1967,20
"Shostakovich, Dmitri",Shostakovich,1967,18
"Stravinsky, Igor",Stravinsky,1968,36
"Bartok, Bela",Bartok,1968,34
"Prokofieff, Sergei",Prokofieff,1968,26
"Shostakovich, Dmitri",Shostakovich,1968,17
"Hindemith, Paul",Hindemith,1968,16
"Stravinsky, Igor",Stravinsky,1969,42
"Prokofieff, Sergei",Prokofieff,1969,31
"Bartok, Bela",Bartok,1969,25
"Shostakovich, Dmitri",Shostakovich,1969,18
"Hindemith, Paul",Hindemith,1969,12
